Method,Success_Rate,Diversity,Novelty,Serendipity,Avg_Rating
Content-Based,1.0,0.5866666666666667,0.635,0.025,4.4830000000000005
Cluster-Based,1.0,0.7771428571428572,0.05,0.0,4.804642857142856
Hybrid,1.0,0.7700000000000002,0.08,0.025,4.7929999999999975
