Book Name,Author,Rating,Number of Reviews,Price,cleaned_description,Listening Time (minutes),Rank,Genre
"Limitless: Upgrade Your Brain, Learn Anything Faster, And Unlock Your Exceptional Life",Jim Kwik,4.7,2361,750,an instant new york times best seller and number one wall street journal best seller,777,36,Audible Audiobooks & Originals
The Unusual Billionaires,Saurabh Mukherjea,4.4,287,1005,what makes a company truly outstanding?,552,20,Audible Audiobooks & Originals
Chanakya Neeti,Acharya Chanakya,4.4,92,668,"chanakya was an indian teacher, philosopher, and royal advisor. he managed the first maurya emperor chandraguptas rise to power at a young age. he is widely credited for having played an important role in the establishment of the maurya empire, which was the first empire in archaeologically recorded history to rule most of the indian subcontinent.",302,28,Audible Audiobooks & Originals
The Rudest Book Ever: Insanely Practical Ideas To Free Your Mind From All Bulls--T,Shwetabh Gangwar,4.5,2076,501,"shwetabh gangwar is a professional problemsolver and hes ace at it. for the past five years, people from all over the world have contacted him with their troubles, and hes worked these out for them.",291,44,Audible Audiobooks & Originals
Start With Why: How Great Leaders Inspire Everyone To Take Action (Int'L Edit.),Simon Sinek,4.5,3823,820,"why are some people and organizations more innovative, more influential, and more profitable than others? why do some command greater loyalty from customers and employees alike? even among the successful, why are so few able to repeat their successes over and over?",432,53,Audible Audiobooks & Originals
Hyperfocus,Chris Bailey,4.5,155,323,"our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",399,31,Audible Audiobooks & Originals
The Tatas: How A Family Built A Business And A Nation,Girish Kuber,4.4,53,668,winner of the gaja capital business book prize 2019,581,34,Audible Audiobooks & Originals
Meri Gita,Devdutt Pattanaik,4.2,129,668,"in meri gita, acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary listener. his unique approach thematic rather than versebyverse makes the ancient treatise eminently accessible.in a world that seems spellbound by argument over dialogue, vivaad over samvaad, devdutt highlights how krishna nudges arjuna to understand rather than judge his relationships. this becomes relevant today when we are increasingly indulging and isolating the self selfimprovement, selfactualization, selfrealization even selfies! we forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight.",459,40,Audible Audiobooks & Originals
A Space Of Her Own: Personal Narratives Of Twelve Women,Leela Gulati,3.4,9,0,"focusing on relationships between women of different generations in india, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",671,4,Audible Audiobooks & Originals
No Rules Rules: Netflix And The Culture Of Reinvention,Reed Hastings,4.1,7,888,"hard work is irrelevant. be radically honest. adequate performance gets a generous severance. and never, ever try to please your boss. these are some of the ground rules if you work at netflix. they are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a dvd mailorder service into a streaming superpower with 125 million fervent subscribers and a market capitalisation bigger than disney.",582,27,Audible Audiobooks & Originals
The Tales Of Beedle The Bard,J.K. Rowling,4.6,3687,652,"written by j.k. rowling. read by sally mortemore, warwick davis, evanna lynch, jason isaacs, bonnie wright, noma dumezweni and jude law.",95,55,Audible Audiobooks & Originals
The Bhagavad Gita,Eknath Easwaran,4.7,1988,280,"the bhagavad gita, the song of the lord, is the best known of all the indian scriptures, and easwaran's reliable and accessible version has consistently been the bestselling translation. easwaran's introduction places the gita in its historical setting and brings out the universality and timelessness of its teachings. chapter introductions give clear explanations of key concepts in that chapter. to listen to the scripture without the introductions, listeners should start at track 044. the bhagavad gita opens dramatically on a battlefield, as the warrior arjuna turns in anguish to his spiritual guide, sri krishna, for answers to the fundamental questions of life. but as easwaran points out, the gita is not what it seems it's not a dialogue between two mythical figures at the dawn of indian history. the battlefield is a perfect backdrop, but the gita's subject is the war within, the struggle for selfmastery that every human being must wage to live a life that is meaningful, fulfilling, and worthwhile. this audio recording is a complete and unabridged reading of eknath easwaran's book the bhagavad gita.",479,3,Unknown
Autobiography Of A Yogi,Paramahansa Yogananda,4.6,2233,1126,"this audio edition, featuring academy award winner ben kingsley's masterful narration, contains the complete text of paramahansa yogananda's life story, an absorbing account of a singular search for truth. yogananda describes his experiences with modernday saints and illuminated masters of india, and presents a definitive introduction to the whole science and philosophy of yoga.",479,3,Unknown
Hitchhiker'S Guide To The Galaxy,Douglas Adams,4.5,2449,323,"a much loved sciencefiction classic, this entertaining intergalactic adventure has a lot going for it including narration by british comedian stephen fry. adams displays his talents for a creating a whole new world in this first of five audiobooks in the hitchhiker's guide to the galaxy series. packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many.",479,3,Unknown
Mythos,Stephen Fry,4.6,2570,1093,"step into another world of magic, mayhem, monsters and maniacal gods in stephen frys momentous sunday times bestseller mythos, brought to you by penguin.",479,3,Unknown
"Harry Potter And The Order Of The Phoenix, Book 5",J.K. Rowling,4.7,5509,1599,'you are sharing the dark lord's thoughts and emotions. the headmaster thinks it inadvisable for this to continue. he wishes me to teach you how to close your mind to the dark lord.',1818,75,Audible Audiobooks & Originals
"Harry Potter And The Goblet Of Fire, Book 4",J.K. Rowling,4.7,5417,1599,"'there will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess their daring their powers of deduction and, of course, their ability to cope with danger.'",1337,46,Audible Audiobooks & Originals
"Harry Potter And The Half-Blood Prince, Book 6",J.K. Rowling,4.7,7018,1599,"there it was, hanging in the sky above the school the blazing green skull with a serpent tongue, the mark death eaters left behind whenever they had entered a building...wherever they had murdered....",1287,78,Audible Audiobooks & Originals
Wings Of Fire,Apj Abdul Kalam,4.6,70,75,we are all born with a divine fire in us. our efforts should be to give wings to this fire. president kalams inspiring autobiography has touched the hearts of people all over the world. the book talks about the his humble beginnings in a small village in tamil nadu and his ascent to one of the most powerful positions in the country.,75,80,Audible Audiobooks & Originals
Man'S Search For Meaning,Viktor E. Frankl,4.4,12868,468,"internationally renowned psychiatrist, viktor e. frankl, endured years of unspeakable horror in nazi death camps. during, and partly because of, his suffering, dr. frankl developed a revolutionary approach to psychotherapy known as logotherapy. at the core of his theory is the belief that man's primary motivational force is his search for meaning.",284,96,Audible Audiobooks & Originals
Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,3.6,230,0,master english with learn english word power 101. this audiobook is a completely new way to learn english vocabulary fast and for free! start speaking english in minutes with the powerful learning methods you will master in this book.,37,8,Audible Audiobooks & Originals
The Lean Startup: How Today'S Entrepreneurs Use Continuous Innovation To Create Radically Successful Businesses,Eric Ries,4.4,3350,1005,"most startups fail. but many of those failures are preventable. the lean startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",518,116,Audible Audiobooks & Originals
Range: How Generalists Triumph In A Specialized World,David Epstein,4.6,1252,323,"range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from david epstein, the acclaimed author of the sports gene.",617,105,Audible Audiobooks & Originals
Everything Is F*Cked: A Book About Hope,Mark Manson,4.3,2351,10378,from the author of the international megabestseller the subtle art of not giving a fck comes a counterintuitive guide to the problems of hope.,422,85,Audible Audiobooks & Originals
The Girl In Room 105,Chetan Bhagat,4.3,6638,568,"hi, i'm keshav, and my life is screwed. i hate my job and my girlfriend left me.",503,79,Audible Audiobooks & Originals
Eat That Frog!,Brian Tracy,4.5,2081,351,"there just isn't enough time for everything on our todo list and there never will be. successful people don't try to do everything. they learn to focus on the most important tasks and make sure those get done. they eat their frogs. there's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. for tracy, eating a frog is a metaphor for tackling your most challenging task but also the one that can have the greatest positive impact on your life. eat that frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",157,57,Audible Audiobooks & Originals
1984,George Orwell,4.5,16938,797,"george orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",739,130,Audible Audiobooks & Originals
The Alchemist (Hindi Edition),Paulo Coelho,4.4,796,668," , , , , ",396,135,Audible Audiobooks & Originals
The Anarchy: The Relentless Rise Of The East India Company,William Dalrymple,4.6,1367,1138,"bloomsbury presents the anarchy by william dalrymple, read by sid sagar.",943,84,Audible Audiobooks & Originals
Zen: The Art Of Simple Living,Shunmyo Masuno,4.7,253,752,penguin presents the audiobook edition of zen by shunmyo masuno.,157,114,Audible Audiobooks & Originals
Poirot'S Finest Cases: Eight Full-Cast Bbc Radio Dramatisations,Agatha Christie,4.8,27,1093,john moffatt stars as the belgian detective hercule poirot.,937,3,Unknown
"Loaded: Money, Psychology, And How To Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.4,62,586,your most valuable asset...is you. loaded will teach you how to make the most of it.,414,56,Audible Audiobooks & Originals
Sochiye Aur Ameer Baniye [Think And Be Rich],Napoleon Hill,4.5,2,836,"this is a hindi translation of famous bestselling classic think and grow rich. napoleon hill in this book defines the process by which listeners can achieve not just economic success but success in all aspects of life. he asserts that it is our mind and thoughts that shape our actions and that leads to success or failure in any venture and the author reveals the secret to its reader through this book of how we can give real shape to our dreams and aspiration through right thought, right action and right inspiration. get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goals.",670,74,Audible Audiobooks & Originals
"Tools Of Titans: The Tactics, Routines, And Habits Of Billionaires, Icons, And World-Class Performers",Tim Ferriss,4.4,3663,1506,"the latest groundbreaking tome from tim ferriss, the numberone new york times bestselling author of the 4hour workweek.",1361,102,Audible Audiobooks & Originals
365 Panchatantra Stories,Adil Mukesh,4.2,424,668,the stories of panchatantra are ancient indian fables that were written in sanskrit and pali languages. the central characters in these fascinating fables are many times animals and birds. they show their most identifying characteristics in the various stories and impart valuable life lessons and morals.,449,88,Audible Audiobooks & Originals
The Dhandho Investor: The Low-Risk Value Method To High Returns,Mohnish Pabrai,4.3,826,469,a comprehensive valueinvesting framework for the individual investor.,304,104,Finance
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,4.0,621,233,"you have studied english for years, yet you still don't speak english well. you've tried many methods and you still make grammar mistakes, you still can't speak english fluently, and you still can't pronounce english words correctly. you can read english, but you feel too nervous or too shy to speak english.",77,151,Self-Help
Fire And Blood: 300 Years Before A Game Of Thrones (A Targaryen History) (A Song Of Ice And Fire),George R.R. Martin,4.4,3724,18149,"set 300 years before a game of thrones, an even greater game began, one that set the skies alight with dragon flame and saw the seven kingdoms turned to ash.",1584,193,Audible Audiobooks & Originals
Market Wizards: Interviews With Top Traders,Jack D. Schwager,4.6,608,836,"important update this audio is the new recording by dj holte, which replaced the original inferior recording and also contains text that was added in the 2012 revised edition of market wizards.",881,83,Audible Audiobooks & Originals
The Story Of My Experiments With Truth: An Autobiography,M. K. Gandhi,4.5,409,1093,"to mark the 150th anniversary of gandhi's birth, dk presents the audiobook of the story of my experiments with truth an autobiography, narrated by sagar arya.",1227,154,Audible Audiobooks & Originals
48 Laws Of Power,Robert Greene,4.4,2097,820,"amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 wellexplicated laws. this bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of machiavelli, sun tzu, carl von clausewitz, and other infamous strategists. the 48 laws of power will fascinate any listener interested in gaining, observing, or defending against ultimate control.",1386,140,Audible Audiobooks & Originals
"Romancing The Balance Sheet: For Anyone Who Owns, Runs Or Manages A Business",Anil Lamba,4.6,459,668,"there is no such thing as a nonfinance person. it is an error to think that finance management is limited to the finance department alone. in fact, it is happening right through the organization for every action you take impacts the bottom line of your company. listen to this book to understand what profit really means and how inventory and sales impact it. learn to read balance sheets and deploy funds intelligently. make the most efficient use of your working capital and discover the simple secrets of marginal costing, leverage and funds flow. written in a simple conversational style, romancing the balance sheet will teach you all the intelligent ways of good financial management.",327,95,Audible Audiobooks & Originals
Yuval Noah Harari: Audible Sessions: Free Exclusive Interview,Robin Morgan,4.7,18,0,"professor yuval noah harari is a lecturer at the department of history at the hebrew university of jerusalem. gaining his phd from oxford university, he has published several books and articles. his most recent works comprise the international bestseller sapiens a brief history of humankind and, most recently homo deus a brief history of tomorrow.",19,9,Audible Audiobooks & Originals
Who Will Cry When You Die? (Hindi): Life Lessons From The Monk Who Sold His Ferrari,Robin Sharma,4.4,217,668,"when you were born, you cried while the world rejoiced. live your life in such a way that when you die, the world cries while you rejoice. ancient sanskrit saying",309,133,Self-Help
Outliers: The Story Of Success,Malcolm Gladwell,4.3,4439,500,"in this stunning new book, malcolm gladwell takes us on an intellectual journey through the world of outliers the best and the brightest, the most famous and the most successful. he asks the question what makes high achievers different? his answer is that we pay too much attention to what successful people are like and too little attention to where they are from that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why asians are good at math, and what made the beatles the greatest rock band.",438,112,Audible Audiobooks & Originals
The Law Of Success,Napoleon Hill,4.4,850,32,"the law of success was a precursor to napoleon hill's think and grow rich. hill was well known for researching what made millionaires different from the common man. the sixteen lessons in this book perfectly crystallize everything you will need to know to succeed during these hard economic times. many of today's best known self help books take there core concepts form this book. the secret, the power of positive thinking, the millionaire next door, and the law of attraction all take their basic premises from this landmark work. now you can get it from the source.",1436,220,Audible Audiobooks & Originals
